Number of frames: 2500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
50,54.593078613,261.772827148,-2890.080810547,47.211025238,269.573883057,-2872.677734375,53.183502197,263.267059326,-2881.551513672,59.338172913,251.912460327,-2916.446289063,55.721477509,247.720550537,-2933.355712891,59.519008636,249.385726929,-2924.835937500,
51,54.733757019,262.279327393,-2889.975341797,47.257308960,270.041748047,-2872.608886719,53.344558716,263.799072266,-2881.454589844,59.616611481,252.275482178,-2916.269287109,56.034946442,247.857482910,-2933.132568359,59.809413910,249.692932129,-2924.651367188,
52,54.942592621,262.724792480,-2889.837158203,47.300510406,270.454223633,-2872.523925781,53.507610321,264.293762207,-2881.329833984,59.962223053,252.600265503,-2916.055908203,56.448787689,247.962112427,-2932.875732422,60.219127655,249.955215454,-2924.417236328,
53,55.154243469,263.073425293,-2889.773193359,47.422981262,270.704772949,-2872.467041016,53.729209900,264.654937744,-2881.268310547,60.359043121,252.898712158,-2915.945068359,56.877555847,248.117843628,-2932.734375000,60.576389313,250.243423462,-2924.313232422,
54,55.478309631,263.285552979,-2889.853027344,47.662673950,270.715362549,-2872.492431641,54.047348022,264.831756592,-2881.338867188,60.727214813,253.262374878,-2916.062255859,57.281658173,248.375289917,-2932.822265625,61.010158539,250.596923828,-2924.426513672,
55,55.890033722,263.366271973,-2890.057373047,48.117168427,270.495422363,-2872.572753906,54.549491882,264.829864502,-2881.514648438,61.172302246,253.595535278,-2916.362792969,57.633495331,248.725509644,-2933.114013672,61.354351044,250.984512329,-2924.752441406,
56,56.425914764,263.349304199,-2890.295166016,48.672824860,270.146484375,-2872.667236328,55.167053223,264.710784912,-2881.723876953,61.639499664,253.893646240,-2916.740478516,58.028446198,249.070693970,-2933.486083984,61.828041077,251.369659424,-2925.137207031,
57,56.938980103,263.258392334,-2890.538330078,49.281677246,269.683258057,-2872.773437500,55.788200378,264.502899170,-2881.938232422,62.199478149,254.167572021,-2917.117431641,58.525943756,249.401245117,-2933.868652344,62.312435150,251.731323242,-2925.540283203,
58,57.515216827,263.118041992,-2890.803955078,49.905704498,269.167510986,-2872.900878906,56.448406219,264.236267090,-2882.178710938,62.784858704,254.439208984,-2917.521972656,59.040973663,249.744186401,-2934.294677734,62.888668060,252.076538086,-2925.959960938,
59,58.161838531,262.945220947,-2891.078369141,50.578674316,268.632293701,-2873.059570313,57.153091431,263.941650391,-2882.435546875,63.350051880,254.689147949,-2917.948974609,59.504047394,250.088851929,-2934.736572266,63.390235901,252.412521362,-2926.410888672,
60,58.751491547,262.774749756,-2891.342041016,51.285408020,268.099182129,-2873.195068359,57.844638824,263.667510986,-2882.673339844,63.934562683,254.916015625,-2918.338867188,59.967357635,250.393218994,-2935.141113281,63.889621735,252.709915161,-2926.823242188,
61,59.350147247,262.640991211,-2891.564697266,51.955257416,267.656158447,-2873.314208984,58.508430481,263.434417725,-2882.883544922,64.479171753,255.132339478,-2918.678222656,60.441562653,250.673309326,-2935.485595703,64.407791138,252.988052368,-2927.173339844,
62,59.949043274,262.546417236,-2891.783447266,52.608276367,267.248229980,-2873.429687500,59.148517609,263.262023926,-2883.091796875,64.981765747,255.363616943,-2919.007812500,60.908473969,250.948471069,-2935.802734375,64.857620239,253.308029175,-2927.519287109,
63,60.528934479,262.474517822,-2892.023681641,53.312263489,266.857971191,-2873.558837891,59.835800171,263.097625732,-2883.313476563,65.513854980,255.621658325,-2919.348388672,61.329967499,251.264907837,-2936.145263672,65.341941833,253.641921997,-2927.878662109,
64,61.170593262,262.397705078,-2892.269531250,54.054801941,266.439422607,-2873.694091797,60.545585632,262.934875488,-2883.549804688,65.995063782,255.899673462,-2919.711425781,61.723716736,251.600280762,-2936.496826172,65.731704712,253.991729736,-2928.256591797,
65,61.797100067,262.353790283,-2892.507324219,54.763015747,266.076141357,-2873.830078125,61.213558197,262.797698975,-2883.783203125,66.428657532,256.192535400,-2920.059082031,62.063114166,251.956466675,-2936.838623047,66.103065491,254.361312866,-2928.618896484,
66,62.374530792,262.303161621,-2892.753173828,55.480522156,265.694030762,-2873.969970703,61.878639221,262.650360107,-2884.015869141,66.821731567,256.477996826,-2920.413085938,62.367244720,252.316848755,-2937.183349609,66.464218140,254.723709106,-2928.970947266,
67,62.926036835,262.220703125,-2893.017578125,56.262611389,265.279083252,-2874.114501953,62.598186493,262.450347900,-2884.260742188,67.230361938,256.741058350,-2920.776367188,62.605487823,252.681945801,-2937.541992188,66.723678589,255.090698242,-2929.352294922,
68,63.499404907,262.117462158,-2893.288818359,57.061382294,264.839630127,-2874.260498047,63.290622711,262.240356445,-2884.519287109,67.597496033,256.991668701,-2921.144287109,62.804840088,253.047943115,-2937.908935547,66.976081848,255.449798584,-2929.742431641,
69,64.061309814,262.000854492,-2893.571044922,57.833290100,264.398864746,-2874.443115234,63.982158661,262.015716553,-2884.790527344,67.971244812,257.262939453,-2921.521240234,63.002189636,253.444946289,-2938.285888672,67.260940552,255.812866211,-2930.128906250,
70,64.577209473,261.867309570,-2893.835205078,58.531223297,263.919189453,-2874.622070313,64.620368958,261.760498047,-2885.048828125,68.321380615,257.525482178,-2921.873046875,63.233596802,253.857925415,-2938.643066406,67.558937073,256.162445068,-2930.491943359,
